datetime;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipcover;preciptype;snow;snowdepth;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;moonphase;conditions;description
01.01.2010;-5.4;-19.1;-13.5;-5.4;-25.2;-17.3;-14.3;94;0;0;;;32;11.2;12.7;1006.2;63.7;8;30;2.4;2;0.52;Partially cloudy;Partly cloudy throughout the day.
02.01.2010;-11.6;-19.3;-14.5;-11.6;-26;-20.3;-15.3;93.9;0.2;;snow;;30;23.8;21.1;1007.8;95.5;3.3;13.1;1.1;1;0.55;Snow, Overcast;Cloudy skies throughout the day with late afternoon snow.
03.01.2010;-14.1;-24.9;-19;-14.8;-34.9;-27.8;-20.2;90.4;0;0;;;28;24.8;342.5;1008.2;69.8;10;24.5;2.2;1;0.59;Partially cloudy;Partly cloudy throughout the day.
04.01.2010;-14.8;-26.9;-20.3;-14.8;-37.4;-26.9;-21.2;92.4;0;0;;;25;21.6;263.3;1014;58.8;10;22.1;2;1;0.62;Partially cloudy;Partly cloudy throughout the day.
05.01.2010;-10.8;-21.7;-15.7;-10.8;-31.8;-22.5;-17.1;89.7;0;0;;;25;22;230.2;1021.2;79.9;10;23.1;2;1;0.66;Partially cloudy;Partly cloudy throughout the day.
06.01.2010;-11.6;-22;-17.3;-11.6;-31.8;-23.3;-18.2;92.8;0;0;;;24;16.6;190.4;1028.3;76;10;24.7;2.1;1;0.69;Partially cloudy;Partly cloudy throughout the day.
07.01.2010;-9.6;-17.7;-13.9;-15.3;-28;-22.7;-15.1;90.7;7.1;75;snow;;24;33.8;135;1024.2;99.7;7;9.7;0.8;1;0.75;Snow, Overcast;Cloudy skies throughout the day with snow.
08.01.2010;-4.8;-12.7;-9.8;-4.8;-21.4;-15.9;-11;91;2.6;;snow;;27;22;207.7;1021.1;71.1;4;7.8;0.6;0;0.76;Snow, Partially cloudy;Partly cloudy throughout the day with a chance of snow throughout the day.
09.01.2010;-6.1;-20.7;-13.4;-6.3;-29.2;-19.1;-14.6;90.6;0;0;;;32;18.7;318.1;1031.9;77.8;8;28.1;2.4;1;0.8;Partially cloudy;Partly cloudy throughout the day.
10.01.2010;-14.1;-25.5;-20.6;-14.1;-33.9;-26.2;-21;94.9;0;0;;;32;14;51.2;1037;43.5;10;29.3;2.4;2;0.83;Partially cloudy;Partly cloudy throughout the day.
11.01.2010;-9.8;-23.4;-18.6;-9.8;-28.2;-20.3;-19.1;96.1;0;0;;;31;8.3;6.5;1032.5;52.5;4;28.4;2.4;2;0.86;Partially cloudy;Partly cloudy throughout the day.
12.01.2010;-10.1;-21.1;-17.6;-10.1;-30.1;-22.7;-18.4;93.7;0;0;;;30;15.1;271.9;1027.1;33.7;4;30.9;2.7;2;0.9;Partially cloudy;Partly cloudy throughout the day.
13.01.2010;-7.3;-22.8;-14.5;-7.3;-32;-19.7;-15.5;92;0;0;;;29;14;335.8;1021;55.3;6;26.2;2.2;1;0.93;Partially cloudy;Partly cloudy throughout the day.
14.01.2010;-7.4;-19.4;-11.9;-7.4;-27.7;-14.8;-12.7;93.8;0;0;;;29;13.7;312.3;1025.5;80.4;6;27.6;2.3;2;0.97;Partially cloudy;Partly cloudy throughout the day.
15.01.2010;-7.1;-15.3;-11.4;-7.1;-21.2;-13.6;-12.2;94.2;0;0;;;29;9.7;82.8;1030.9;75.8;4;22.4;1.9;1;0;Partially cloudy;Partly cloudy throughout the day.
16.01.2010;-7.9;-19;-13;-7.9;-25.9;-14.6;-14.4;89.5;0;0;;;29;9.7;122.8;1043.6;63.8;8;34;2.9;2;0.04;Partially cloudy;Partly cloudy throughout the day.
17.01.2010;-8.8;-28;-21.3;-8.8;-37.7;-26.8;-21.8;95.1;0;0;;;29;11.9;229.1;1049;40.7;6;35.8;3.3;2;0.07;Partially cloudy;Partly cloudy throughout the day.
18.01.2010;-12.9;-31.4;-24;-12.9;-40.1;-27.5;-24.8;93.2;0;0;;;28;10.4;233.1;1049.1;26.7;6;44.5;3.8;2;0.1;Partially cloudy;Partly cloudy throughout the day.
19.01.2010;-11.9;-32.4;-24.5;-11.9;-39.1;-27.5;-26.4;84.8;0;0;;;28;11.9;84.3;1045.8;45.3;8;41.8;3.6;2;0.14;Partially cloudy;Partly cloudy throughout the day.
20.01.2010;-12.9;-29.4;-21.2;-12.9;-38.6;-26.8;-22.2;92;0;0;;;28;14;89.3;1045.4;59.8;8;32.4;2.8;2;0.17;Partially cloudy;Partly cloudy throughout the day.
21.01.2010;-12.8;-26;-19;-12.8;-36.4;-26.6;-20.2;90.9;0;0;;;28;20.5;78;1047.2;45.3;8;38;3.3;2;0.2;Partially cloudy;Partly cloudy throughout the day.
22.01.2010;-14.9;-26.9;-21.6;-18.1;-37.5;-28.9;-22.6;91.6;0;0;;;28;19.1;25.8;1047.3;41.9;10;37.8;3.3;2;0.24;Partially cloudy;Partly cloudy throughout the day.
23.01.2010;-14.3;-31.8;-22.7;-19.2;-43.1;-31;-24.1;89.2;0;0;;;28;16.2;37.4;1041.6;36.8;10;50.9;4.3;3;0.25;Partially cloudy;Partly cloudy throughout the day.
24.01.2010;-15.6;-32;-22.8;-15.6;-43.7;-29.5;-24.4;87.7;0;0;;;28;18;352.1;1036.4;58.5;10;46.8;4;2;0.3;Partially cloudy;Partly cloudy throughout the day.
25.01.2010;-15.3;-22.8;-18.5;-15.3;-32.8;-23.5;-19.6;91.5;0.3;;snow;;29;16.6;46.2;1034.6;83.8;6;28.6;2.5;1;0.34;Snow, Partially cloudy;Partly cloudy throughout the day with morning snow.
26.01.2010;-20.4;-27.7;-24;-20.4;-38.1;-31;-25.1;91.5;0.6;25;snow;;30;16.2;27;1038.5;79.8;10;33.5;2.8;2;0.37;Snow, Partially cloudy;Partly cloudy throughout the day with snow.
27.01.2010;-16.4;-27.2;-23.9;-16.4;-36.9;-29;-24.9;92.1;0;0;;;31;12.6;227.3;1035.3;85.9;10;41.2;3.5;2;0.4;Partially cloudy;Partly cloudy throughout the day.
28.01.2010;-14.6;-22.9;-19.3;-14.6;-31.1;-25.1;-20.3;92.5;0;0;;;31;19.1;161.1;1018.8;79;6;38.4;3.3;2;0.44;Partially cloudy;Partly cloudy throughout the day.
29.01.2010;-13.3;-21.8;-17.4;-17.1;-32.6;-25.5;-18.6;90.4;0.9;;snow;;31;29.5;143.5;1008;93.8;6;21.3;1.7;1;0.47;Snow, Overcast;Cloudy skies throughout the day with snow in the morning and afternoon.
30.01.2010;-10.1;-19.4;-15;-10.1;-28.7;-20.2;-16.1;90.9;0;0;;;33;16.2;170.6;1008.4;63;8;51.5;4.4;3;0.5;Partially cloudy;Partly cloudy throughout the day.
31.01.2010;-7.6;-16.3;-12.2;-8.6;-26.4;-18.6;-13.4;91.1;0.3;;snow;;33;26.3;140.6;1017;83.1;8;43.6;3.7;2;0.54;Snow, Partially cloudy;Partly cloudy throughout the day with late afternoon snow.
01.02.2010;-0.9;-9.7;-4.8;-3.6;-18.6;-11.8;-6.2;90.4;6.4;75;rain,snow;;37;39.6;136.8;1012.4;99.3;4;30.3;2.5;2;0.57;Snow, Rain, Overcast;Cloudy skies throughout the day with a chance of rain or snow throughout the day.
02.02.2010;-1.3;-7.1;-5.2;-3.8;-15.7;-12;-6.6;90.1;3.8;;rain,snow;;38;36.7;137.2;1012.9;97.3;6;29.7;2.4;1;0.6;Snow, Rain, Overcast;Cloudy skies throughout the day with a chance of rain or snow throughout the day.
03.02.2010;-1.8;-10.1;-5.6;-2.6;-17.8;-11.2;-7.3;88.1;1.5;;snow;;39;38.9;153.2;1020.6;94.8;10;36.6;3.3;2;0.64;Snow, Overcast;Cloudy skies throughout the day with snow.
04.02.2010;-4.6;-18.1;-11.1;-7.9;-29.2;-19.5;-13.5;83;0.2;;snow;;41;32.4;120.7;1035.1;81.1;10;64.2;5.6;3;0.67;Snow, Partially cloudy;Partly cloudy throughout the day with early morning snow.
05.02.2010;-9.8;-23.5;-17;-12.9;-34.9;-25.2;-19.4;83.5;0;0;;;39;23.8;145.6;1045.5;23.5;10;69.5;6;3;0.71;Partially cloudy;Partly cloudy throughout the day.
06.02.2010;-8.6;-24.3;-18.7;-8.6;-33.2;-24;-20;89.9;0;0;;;38;15.1;162.9;1044.4;28;8.5;62.3;5.5;3;0.75;Partially cloudy;Partly cloudy throughout the day.
